variable,question_text,description,type,values
bothered_by_ai_generated_content,"How much does it bother you if the content you consume online isn’t created by a real person, but is generated by AI to keep you engaged or influence your decisions?",How much participants are bothered by AI-generated content created to influence or engage them.,categorical,Allowed values: extremely; moderate; not_at_all; slightly; very
feeling_if_content_was_ai_one_word,"If you discovered that content you were engaging with was generated by AI rather than a real person, what’s one word that best describes how you would feel?",One-word description of how participants would feel upon discovering content was AI-generated rather than human-created.,text,"Open-text responses describing participants’ feelings if content they engaged with was generated by AI instead of a real person. Minimal cleaning applied (whitespace trimming, newline removal). Raw wording preserved exactly. Empty string indicates no response."
confidence_distinguishing_human_vs_ai,How confident are you that you can tell the difference between human-created content and AI-generated content?,Participant confidence in distinguishing human-created content from AI-generated content.,categorical,Allowed values: extremely_confident; moderate_confident; not_confident; slightly_confident; very_confident
worry_ai_reduces_value_of_human_creativity,Do you worry that AI will make human creativity less valued?,Level of participant concern that AI may reduce the value placed on human creativity.,categorical,Allowed values: moderately; not_at_all; quite_alot; slightly; very_much
trust_big_tech_use_ai_responsibly,Do you trust big tech companies to use AI responsibly?,How much participants trust major technology companies to use AI responsibly.,categorical,Allowed values: moderately; not_at_all; quite_alot; slightly; very_much
worry_ai_disrupts_life,"How worried are you that AI will disrupt your own life (e.g., your job, studies, creativity, or relationships)?","Participant concern about the impact of AI on their personal life, work, or relationships.",categorical,Allowed values: extremely; moderately; not_at_all; slightly; very
frequency_thinking_about_ai_implications,How often do you think about the implications of AI on your daily life,Frequency with which participants think about AI’s effects on their daily lives.,categorical,Allowed values: always; never; occasionally; often; sometimes
first_step_when_unsure_reality,"When you’re unsure whether something online is real or trustworthy, what’s the first step you usually take?",Participant’s first action when uncertain about the trustworthiness of online content.,categorical,Allowed values: ask_friends_family; google_search; ignore; multiple_sources; share_anyway
most_trusted_information_source,Who do you trust most for reliable information?,Primary source participants rely on for trustworthy information.,categorical,Allowed values: academics_experts; family_friends; government; independent_creators; news; no_one
what_matters_most_believing_content,"When you’re unsure whether to believe something online, what matters most in your decision?",Most important factor influencing participants’ decisions about whether to believe online content.,categorical,Allowed values: clear_facts_or_evidence; established_institutions; honesty_or_fairness; personal_instincts_or_experience; recognised_experts; trusted_people
preferred_alternatives_when_unsure_multi,Think of a time you weren’t sure if something online was real or trustworthy. What would you have preferred to rely on instead? (Select up to 3),Preferred sources participants would rely on when unsure about the reality or trustworthiness of online content,multi_select,Multi-select; stored as semicolon-separated snake_case tokens: aligned_with_my_values; clarity_facts_or_evidence; established_institutions; lived_experience; recognized_experts; trusted_people
coping_strategy_when_overwhelmed,"When you feel overwhelmed by digital life, what’s the first thing you do to cope?",Participant’s primary coping strategy when feeling overwhelmed by digital life.,categorical,Allowed values: exercise; keep_scrolling; take_a_break; talk_to_someone; turn_off_phone
positive_change_from_digital_or_ai,What’s one positive change digital technology or AI has brought to your life?,Participant-reported positive impact of digital technology or AI.,text,"Open-text responses describing the positive changes digital technology or AI has brought to participants’ lives. Minimal cleaning applied (whitespace trimming, newline removal). Raw wording preserved exactly. Empty string indicates no response."
change_to_improve_digital_wellbeing,"If you could change one thing about your digital life to improve your wellbeing, what would it be?",Desired change participants believe would improve their digital wellbeing.,text,"Open-text responses describing what participants would change about their digital life to improve their wellbeing. Minimal cleaning applied (whitespace trimming, newline removal). Raw wording preserved exactly. Empty string indicates no response."
future_topic_suggestion_open,What’s one topic or struggle in your digital life that you would like to see us explore in a future report? Please be as specific as possible,Participant suggestions for future topics or struggles to be explored in upcoming reports.,text,"Open-text responses suggesting topics or struggles participants would like explored in future reports. Minimal cleaning applied (whitespace trimming, newline removal). Raw wording preserved exactly. Empty string indicates no response."
preferred_alternative_activities_multi_other,Free-text entries supplied when respondents selected “Other” for preferred_alternative_activities_multi,Free-text response supplied when participants selected “Other” for preferred alternative activities.,text,"Open-text responses supplied when “Other” was selected. Minimal cleaning applied (whitespace trimming, newline removal). Raw wording preserved exactly. Empty string indicates no response."
least_trusted_content_types_multi_other,Free-text entries supplied when respondents selected “Other” for least_trusted_content_types_multi,Free-text response supplied when participants selected “Other” for types of online content they trust the least.,text,"Open-text responses supplied when “Other” was selected. Minimal cleaning applied (whitespace trimming, newline removal). Raw wording preserved exactly. Empty string indicates no response."
first_step_when_unsure_reality_other,Free-text entries supplied when respondents selected “Other” for first_step_when_unsure_reality,Free-text response supplied when participants selected “Other” for their first step when unsure about online content.,text,"Open-text responses supplied when “Other” was selected. Minimal cleaning applied (whitespace trimming, newline removal). Raw wording preserved exactly. Empty string indicates no response."
what_matters_most_believing_content_other,Free-text entries supplied when respondents selected “Other” for what_matters_most_believing_content,Free-text response supplied when participants selected “Other” for what matters most when deciding whether to believe online content.,text,"Open-text responses supplied when “Other” was selected. Minimal cleaning applied (whitespace trimming, newline removal). Raw wording preserved exactly. Empty string indicates no response."
preferred_alternatives_when_unsure_multi_other,Free-text entries supplied when respondents selected “Other” for preferred_alternatives_when_unsure_multi,Free-text response supplied when participants selected “Other” for preferred alternatives when unsure about the reality or trustworthiness of content.,text,"Open-text responses supplied when “Other” was selected. Minimal cleaning applied (whitespace trimming, newline removal). Raw wording preserved exactly. Empty string indicates no response."
coping_strategy_when_overwhelmed_other,Free-text entries supplied when respondents selected “Other” for coping_strategy_when_overwhelmed,Free-text response supplied when participants selected “Other” for their coping strategy when feeling overwhelmed by digital life,text,"Open-text responses supplied when “Other” was selected. Minimal cleaning applied (whitespace trimming, newline removal). Raw wording preserved exactly. Empty string indicates no response."
